r1,r2,support,weight_log1p
P1018,P527,15,2.772589
P1018,P3975,4,1.609438
P1018,P355,16,2.833213
P1018,P5008,16,2.833213
P1018,P457,2,1.098612
P1018,P3342,3,1.386294
P1018,P4195,7,2.079442
P1018,P910,45,3.828641
P1018,P6365,9,2.302585
P1018,P749,28,3.367296
P1018,P800,7,2.079442
P1018,P92,8,2.197225
P1018,P740,5,1.791759
P1018,P797,2,1.098612
P1018,P669,4,1.609438
P1018,P7888,2,1.098612
P1001,P6,22961,10.041596
P1001,P527,2416,7.790282
P1028,P31,2203,7.698029
P1028,P21,1666,7.418781
P1028,P735,1507,7.318540
P1028,P106,1492,7.308543
P1028,P569,1446,7.277248
P1028,P570,1350,7.208600
P1028,P214,1330,7.193686
P1028,P27,1307,7.176255
P1028,P734,1203,7.093405
P1028,P19,1158,7.055313
P1028,P373,1072,6.978214
P1028,P18,1010,6.918695
P1028,P213,982,6.890609
P1028,P227,972,6.880384
P1028,P244,969,6.877296
P1028,P20,967,6.875232
P1028,P10832,886,6.787845
P1028,P646,877,6.777647
P1028,P1412,801,6.687109
P1028,P13591,761,6.635947
P1028,P269,689,6.536692
P1028,P2163,679,6.522093
P1028,P22,613,6.419995
P1028,P5008,599,6.396930
P1028,P8189,580,6.364751
P1028,P1343,568,6.343880
P1028,P26,564,6.336826
P1028,P268,557,6.324359
P1028,P119,514,6.244167
P1028,P2671,500,6.216606
P1028,P1006,492,6.200509
P1028,P2600,484,6.184149
P1028,P166,475,6.165418
P1028,P69,458,6.129050
P1028,P7902,443,6.095825
P1028,P2949,438,6.084499
P1028,P40,434,6.075346
P1028,P39,426,6.056784
P1028,P3373,420,6.042633
P1028,P13049,419,6.040255
P1028,P1207,403,6.001415
P1028,P25,391,5.971262
P1028,P245,380,5.942799
P1028,P1559,372,5.921578
P1028,P9964,369,5.913503
P1028,P463,368,5.910797
P1028,P3368,361,5.891644
P1028,P17,353,5.869297
P1028,P691,352,5.866468
P1028,P7763,346,5.849325
P103,P793,4,1.609438
P103,P6,8,2.197225
P103,P527,135,4.912655
P1033,P279,2,1.098612
P1033,P910,2,1.098612
P1033,P1343,3,1.386294
P1033,P31,2,1.098612
P10339,P31,8,2.197225
P10339,P279,8,2.197225
P10339,P373,7,2.079442
P10339,P461,7,2.079442
P10339,P1813,7,2.079442
P10339,P1889,7,2.079442
P10339,P910,6,1.945910
P10339,P1552,6,1.945910
P10339,P361,5,1.791759
P10339,P487,5,1.791759
P10339,P18,4,1.609438
P10339,P8814,4,1.609438
P10339,P2572,4,1.609438
P10339,P6262,4,1.609438
P10339,P11250,4,1.609438
P10339,P646,3,1.386294
P10339,P1014,3,1.386294
P10339,P2559,3,1.386294
P10339,P3417,3,1.386294
P10339,P5008,3,1.386294
P10339,P2888,3,1.386294
P10339,P6417,3,1.386294
P10339,P13591,3,1.386294
P10339,P2910,3,1.386294
P10339,P154,2,1.098612
P10339,P2347,2,1.098612
P10339,P3553,2,1.098612
P10339,P7033,2,1.098612
P10339,P8313,2,1.098612
P10339,P8408,2,1.098612
P10339,P9069,2,1.098612
P10339,P12800,2,1.098612
P10339,P244,2,1.098612
P10339,P268,2,1.098612
P10339,P508,2,1.098612
P10339,P1382,2,1.098612
P10339,P460,2,1.098612
P10339,P3984,2,1.098612
P10339,P8189,2,1.098612
P10339,P10192,2,1.098612
P10339,P10283,2,1.098612
P10339,P11852,2,1.098612
P10339,P13438,2,1.098612
P10339,P12171,2,1.098612
P10339,P2892,2,1.098612
P10339,P4839,2,1.098612
P10339,P4946,2,1.098612
P10339,P6213,2,1.098612
P10339,P7329,2,1.098612
P10339,P7807,2,1.098612
P10254,P31,20824,9.943909
